xml_id	midi_id	track	channel	pitch	onset
n13-1	n0	1	0	57	0.9677083333333334
n5-1	n4	1	0	57	1.321875
n15-1	n6	1	0	57	1.4916666666666665
n16-1	n9	1	0	57	1.6520833333333331
n14-1	deletion
n1-1	deletion
n2-1	n1	1	0	60	1.0458333333333334
n4-1	n3	1	0	60	1.21875
n6-1	n5	1	0	60	1.36875
n8-1	n8	1	0	60	1.5677083333333333
n3-1	n2	1	0	64	1.1375
n7-1	n7	1	0	64	1.5187499999999998
n17-1	n12	1	0	52	1.8093749999999997
n9-1	deletion
n10-1	n11	1	0	60	1.6989583333333331
n12-1	deletion
n11-1	n10	1	0	64	1.6947916666666665
n18-1	n13	1	0	55	1.9760416666666667
n33-1	n16	1	0	55	2.1385416666666672
n32-1	deletion
n19-1	n14	1	0	58	2.0072916666666667
n21-1	n18	1	0	58	2.1791666666666676
n20-1	n17	1	0	62	2.173958333333334
n34-1	n19	1	0	55	2.304166666666668
n35-1	n22	1	0	55	2.4750000000000014
n22-1	deletion
n23-1	n20	1	0	58	2.362500000000001
n25-1	n23	1	0	58	2.5260416666666683
n24-1	n24	1	0	62	2.5416666666666683
n36-1	n25	1	0	55	2.6458333333333353
n26-1	deletion
n37-1	n28	1	0	56	2.797916666666669
n29-1	deletion
n27-1	n27	1	0	58	2.7114583333333355
n30-1	n29	1	0	59	2.855208333333336
n28-1	n26	1	0	62	2.687500000000002
n31-1	n30	1	0	63	2.855208333333336
n38-1	n31	1	0	57	2.9916666666666694
n50-1	deletion
n39-1	n32	1	0	60	3.106250000000003
n41-1	n34	1	0	60	3.2666666666666693
n40-1	n33	1	0	64	3.195833333333336
n51-1	n35	1	0	57	3.373958333333336
n52-1	n37	1	0	57	3.541666666666669
n53-1	n39	1	0	57	3.7052083333333354
n42-1	deletion
n46-1	deletion
n43-1	n36	1	0	60	3.4385416666666693
n45-1	n38	1	0	60	3.6145833333333357
n44-1	deletion
n54-1	n41	1	0	52	3.888541666666669
n47-1	n40	1	0	60	3.7520833333333354
n49-1	deletion
n48-1	deletion
n55-1	n42	1	0	55	4.062500000000002
n68-1	n45	1	0	55	4.2270833333333355
n67-1	deletion
n56-1	n43	1	0	58	4.088541666666669
n58-1	n46	1	0	58	4.320833333333335
n57-1	n44	1	0	62	4.171875000000003
n59-1	n48	1	0	54	4.397916666666668
n70-1	n50	1	0	54	4.547916666666667
n69-1	deletion
n60-1	n47	1	0	57	4.393750000000002
n62-1	n51	1	0	57	4.588541666666667
n61-1	n49	1	0	61	4.522916666666667
n63-1	n52	1	0	53	4.729166666666667
n72-1	n55	1	0	53	4.892708333333335
n71-1	deletion
n64-1	n53	1	0	57	4.754166666666667
n66-1	n56	1	0	57	4.967708333333335
n65-1	deletion
n85-1	n57	1	0	52	5.103125000000001
n73-1	deletion
n74-1	n58	1	0	56	5.21875
