xml_id	midi_id	track	channel	pitch	onset
n2-1	n0	1	0	53	0.8255208333333335
n14-1	deletion
n3-1	n1	1	0	60	0.9856770833333335
n6-1	n4	1	0	60	2.0572916666666665
n9-1	n8	1	0	64	3.0013020833333335
n4-1	n2	1	0	65	1.1601562500000002
n7-1	n6	1	0	65	2.536458333333333
n10-1	n7	1	0	67	2.9895833333333335
n5-1	n3	1	0	69	1.3958333333333335
n8-1	n5	1	0	69	2.5234374999999996
n15-1	n11	1	0	53	3.980468750000001
n13-1	deletion
n11-1	n9	1	0	62	3.4778645833333335
n17-1	n12	1	0	62	4.472656250000001
n12-1	n10	1	0	65	3.4778645833333335
n18-1	n13	1	0	65	4.477864583333334
n23-1	n18	1	0	53	5.821614583333332
n29-1	deletion
n21-1	n17	1	0	58	5.423177083333333
n19-1	n15	1	0	60	4.979166666666667
n22-1	n16	1	0	62	5.403645833333333
n20-1	n14	1	0	64	4.97265625
n31-1	n24	1	0	56	7.274739583333328
n26-1	n22	1	0	57	6.679687499999996
n24-1	n20	1	0	58	6.2812499999999964
n41-1	n23	1	0	59	7.261718749999995
n27-1	n21	1	0	60	6.671874999999996
n25-1	n19	1	0	62	6.26302083333333
n35-1	n28	1	0	49	8.624999999999995
n33-1	n27	1	0	50	8.180989583333327
n34-1	n26	1	0	53	8.160156249999993
n36-1	n29	1	0	53	8.656249999999995
n32-1	n25	1	0	55	7.76041666666666
n42-1	n30	1	0	58	8.763020833333327
n37-1	n32	1	0	48	9.242187499999991
n38-1	n31	1	0	52	9.235677083333325
n39-1	n35	1	0	52	9.677083333333329
n48-1	n36	1	0	53	10.29817708333333
n40-1	n33	1	0	55	9.671874999999995
n57-1	n37	1	0	57	10.308593749999996
n43-1	n34	1	0	60	9.673177083333329
n49-1	n38	1	0	53	10.850260416666664
n58-1	deletion
n52-1	n41	1	0	64	11.824218749999995
n50-1	n40	1	0	65	11.265624999999995
n53-1	n42	1	0	67	11.841145833333329
n51-1	n39	1	0	69	11.247395833333329
n46-1	n44	1	0	69	11.97135416666666
n47-1	n43	1	0	81	11.957031249999995
n56-1	n47	1	0	53	12.87760416666666
n78-1	n54	1	0	53	14.464843749999998
n72-1	deletion
n59-1	deletion
n54-1	n45	1	0	62	12.489583333333327
n66-1	n49	1	0	62	13.289062499999993
n55-1	n46	1	0	65	12.49088541666666
n67-1	n48	1	0	65	13.281249999999993
n70-1	n53	1	0	58	14.085937499999996
n68-1	n50	1	0	60	13.67057291666666
n71-1	n52	1	0	62	14.074218749999996
n69-1	n51	1	0	64	13.677083333333327
n62-1	n56	1	0	70	14.613281249999998
n63-1	n55	1	0	82	14.58723958333333
n87-1	n66	1	0	56	15.738281250000002
n75-1	n60	1	0	57	15.3515625
n73-1	n57	1	0	58	14.98828125
n94-1	n65	1	0	59	15.735677083333336
n76-1	n61	1	0	60	15.354166666666666
n74-1	n58	1	0	62	14.9921875
n64-1	n62	1	0	72	15.354166666666666
n79-1	n64	1	0	74	15.723958333333336
n65-1	n59	1	0	84	15.333333333333334
n80-1	n63	1	0	86	15.70963541666667
n91-1	n73	1	0	49	16.90364583333333
n89-1	n69	1	0	50	16.451822916666668
n90-1	n71	1	0	53	16.466145833333336
n88-1	n67	1	0	55	16.08984375
n95-1	n72	1	0	55	16.89713541666666
n96-1	n74	1	0	58	16.91276041666666
n83-1	n76	1	0	76	16.96744791666666
n81-1	n70	1	0	77	16.459635416666668
n84-1	n75	1	0	88	16.94270833333333
n82-1	n68	1	0	89	16.436197916666668
n92-1	n77	1	0	48	17.330729166666657
n93-1	n81	1	0	52	17.701822916666657
n102-1	n82	1	0	53	18.035156249999986
n111-1	n83	1	0	57	18.053385416666654
n97-1	n80	1	0	60	17.696614583333325
n85-1	n79	1	0	79	17.688802083333325
n98-1	n85	1	0	81	18.179687499999986
n86-1	n78	1	0	91	17.66536458333332
n99-1	n84	1	0	93	18.152343749999986
