xml_id	midi_id	track	channel	pitch	onset
n10-1	n1	0	0	38	0.6330121875
n13-1	n5	0	0	38	0.9188025
n16-1	n8	0	0	38	1.20592828125
n19-1	n11	0	0	38	1.458331875
n1-1	n0	0	0	50	0.5088135937500001
n11-1	n2	0	0	50	0.63701859375
n3-1	n3	0	0	50	0.76923
n14-1	n4	0	0	50	0.897435
n5-1	n6	0	0	50	1.05101390625
n17-1	n7	0	0	50	1.17921890625
n7-1	n9	0	0	50	1.324785
n20-1	n10	0	0	50	1.44898359375
n30-1	n14	0	0	38	1.74011578125
n33-1	n17	0	0	38	2.0112159375000003
n21-1	n12	0	0	50	1.5785240625
n31-1	n13	0	0	50	1.7174128125
n23-1	n15	0	0	50	1.85496609375
n34-1	n16	0	0	50	1.98851296875
n36-1	n20	0	0	38	2.2622840625
n39-1	n23	0	0	38	2.53605515625
n25-1	n18	0	0	50	2.1220598437500002
n37-1	n19	0	0	50	2.25026484375
n27-1	n21	0	0	50	2.38114078125
n40-1	n22	0	0	50	2.51468765625
n50-1	n26	0	0	38	2.8271873437500004
n53-1	n29	0	0	38	3.0835973437499997
n41-1	n24	0	0	50	2.65624734375
n51-1	n25	0	0	50	2.7991425000000003
n43-1	n27	0	0	50	2.91799921875
n54-1	n28	0	0	50	3.0662362499999998
n56-1	n32	0	0	38	3.3400073437499995
n59-1	n35	0	0	38	3.6030946874999996
n45-1	n30	0	0	50	3.18776390625
n57-1	n31	0	0	50	3.3159689062499997
n47-1	n33	0	0	50	3.4508512499999995
n60-1	n34	0	0	50	3.5843981249999994
n70-1	n38	0	0	38	3.8782012499999996
n73-1	n41	0	0	38	4.149301406249999
n61-1	n36	0	0	50	3.7286287499999995
n71-1	n37	0	0	50	3.8568337499999994
n63-1	n39	0	0	50	3.990380625
n74-1	n40	0	0	50	4.1252629687499995
n76-1	n44	0	0	38	4.393692187499999
n79-1	n46	0	0	38	4.660785937500002
n65-1	n42	0	0	50	4.24812609375
n77-1	n43	0	0	50	4.381672968749999
n67-1	n45	0	0	50	4.492516874999999
n80-1	n47	0	0	50	4.660785937500002
n94-1	n51	0	0	38	4.927879687500003
n97-1	n55	0	0	38	5.188296093750003
n81-1	n49	0	0	48	4.772965312500002
n84-1	n52	0	0	48	5.044065468750003
n95-1	n50	0	0	50	4.9171959375000025
n98-1	n54	0	0	50	5.180283281250003
n82-1	n48	0	0	52	4.768958906250002
n85-1	n53	0	0	52	5.048071875000003
n100-1	n59	0	0	38	5.4393642187500015
n103-1	n63	0	0	38	5.713135312500001
n87-1	n57	0	0	48	5.300475468750002
n90-1	n61	0	0	48	5.559556406250001
n101-1	n58	0	0	50	5.432686875000002
n104-1	n62	0	0	50	5.705122500000002
n88-1	n56	0	0	52	5.299140000000002
n91-1	n60	0	0	52	5.558220937500002
n118-1	n67	0	0	38	5.9722162500000024
n121-1	n71	0	0	38	6.212600625000002
n105-1	n65	0	0	48	5.8306565625000015
n108-1	n69	0	0	48	6.084395625000003
n119-1	n66	0	0	50	5.956190625000002
n122-1	n70	0	0	50	6.2099296875000025
n106-1	n64	0	0	52	5.829321093750002
n109-1	n68	0	0	52	6.079053750000003
n124-1	n75	0	0	38	6.470346093750002
n127-1	n79	0	0	38	6.736104375000002
n111-1	n73	0	0	48	6.336799218750001
n114-1	n77	0	0	48	6.595880156250002
n125-1	n74	0	0	50	6.467675156250002
n128-1	n78	0	0	50	6.721414218750002
n112-1	n72	0	0	52	6.334128281250002
n115-1	n76	0	0	52	6.587867343750002
n138-1	n82	0	0	38	7.001862656250003
n141-1	n85	0	0	38	7.262279062500003
n129-1	n80	0	0	50	6.854961093750002
n139-1	n81	0	0	50	6.999191718750003
n131-1	n83	0	0	50	7.1167129687500035
n142-1	n84	0	0	50	7.246253437500003
n144-1	n88	0	0	38	7.516018125000004
n147-1	n91	0	0	38	7.784447343750004
n133-1	n86	0	0	50	7.3771293750000035
n145-1	n87	0	0	50	7.506669843750004
n135-1	n89	0	0	50	7.6322039062500036
n148-1	n90	0	0	50	7.7684217187500035
n158-1	n94	0	0	38	8.039521875000004
n161-1	n97	0	0	38	8.301273750000007
n149-1	n92	0	0	50	7.895291250000004
n159-1	n93	0	0	50	8.026167187500004
n151-1	n95	0	0	50	8.157043125000005
n162-1	n96	0	0	50	8.282577187500006
n164-1	n100	0	0	38	8.557683750000008
n167-1	n103	0	0	38	8.822106562500007
n153-1	n98	0	0	50	8.417459531250007
n165-1	n99	0	0	50	8.544329062500008
n155-1	n101	0	0	50	8.685888750000007
n168-1	n102	0	0	50	8.804745468750008
n182-1	n107	0	0	38	9.06916828125001
n185-1	n111	0	0	38	9.348281250000012
n169-1	n105	0	0	48	8.939627812500007
n172-1	n109	0	0	48	9.20939250000001
n183-1	n106	0	0	50	9.061155468750009
n186-1	n110	0	0	50	9.338932968750012
n170-1	n104	0	0	52	8.935621406250007
n173-1	n108	0	0	52	9.20137968750001
n188-1	n115	0	0	38	9.600684843750013
n191-1	n119	0	0	38	9.854423906250013
n175-1	n113	0	0	48	9.463131562500013
n178-1	n117	0	0	48	9.738238125000013
n189-1	n114	0	0	50	9.591336562500013
n192-1	n118	0	0	50	9.845075625000012
n176-1	n112	0	0	52	9.455118750000013
n179-1	n116	0	0	52	9.730225312500012
n206-1	n124	0	0	38	10.133536875000011
n209-1	n129	0	0	38	10.40730796875001
n193-1	n120	0	0	48	9.973280625000012
n196-1	n125	0	0	48	10.26574828125001
n207-1	n123	0	0	50	10.124188593750011
n210-1	n128	0	0	50	10.399295156250009
n194-1	n121	0	0	52	9.983964375000012
n197-1	n127	0	0	52	10.27242562500001
n195-1	n122	0	0	55	9.990641718750013
n198-1	n126	0	0	55	10.26841921875001
n212-1	n134	0	0	38	10.687756406250003
n215-1	n138	0	0	38	10.937489062500005
n199-1	n130	0	0	48	10.52883562500001
n213-1	n133	0	0	50	10.678408125000004
n202-1	n135	0	0	50	10.805277656250002
n216-1	n137	0	0	50	10.929476250000004
n200-1	n131	0	0	52	10.534177500000009
n204-1	n139	0	0	52	10.948172812500005
n203-1	n136	0	0	53	10.811955000000003
n201-1	n132	0	0	55	10.538183906250008
n226-1	n142	0	0	38	11.223279375000006
n229-1	n144	0	0	38	11.479689375000007
n217-1	n140	0	0	50	11.067029531250004
n227-1	n141	0	0	50	11.211260156250006
n219-1	n143	0	0	50	11.367510000000006
n230-1	n145	0	0	50	11.489037656250007
n232-1	n147	0	0	38	11.760137812500007
n235-1	n151	0	0	38	12.015212343750008
n221-1	n146	0	0	50	11.615907187500007
n233-1	n148	0	0	50	11.770821562500007
n223-1	n149	0	0	50	11.868310781250008
n236-1	n150	0	0	50	12.004528593750008
n246-1	n154	0	0	38	12.263609531250006
n249-1	n157	0	0	38	12.499987500000005
n237-1	n152	0	0	50	12.132733593750007
n247-1	n153	0	0	50	12.259603125000007
n239-1	n155	0	0	50	12.374453437500007
n250-1	n156	0	0	50	12.485297343750005
n252-1	n160	0	0	38	12.765745781250006
n255-1	n163	0	0	38	13.034175000000007
n241-1	n158	0	0	50	12.617508750000006
n253-1	n159	0	0	50	12.763074843750006
n256-1	n162	0	0	50	13.022155781250007
n243-1	n161	0	0	63	12.888608906250006
n266-1	n168	0	0	38	13.302604218750009
n269-1	n171	0	0	38	13.563020625000009
n257-1	n166	0	0	39	13.218469687500008
n259-1	n169	0	0	50	13.428138281250009
n267-1	n167	0	0	51	13.295926875000008
n270-1	n170	0	0	52	13.54833046875001
n272-1	n174	0	0	38	13.823437031250007
n275-1	n177	0	0	38	14.08251796875001
n261-1	n172	0	0	50	13.689890156250009
n273-1	deletion
n263-1	n175	0	0	50	13.928939062500008
n276-1	deletion
n288-1	n181	0	0	38	14.297528437500008
n291-1	n185	0	0	38	14.623382812500008
n277-1	n178	0	0	48	14.18134265625001
n281-1	n183	0	0	50	14.455113750000008
n292-1	n184	0	0	50	14.599344375000008
n289-1	deletion
