onset_beat,duration_beat,pitch,id
0.0,1.0,57,n13
1.0,0.25,57,n5
1.5,0.5,57,n15
2.0,0.5,57,n16
0.25,0.25,60,n2
0.75,0.25,60,n4
1.25,0.25,60,n6
1.75,0.25,60,n8
0.5,0.25,64,n3
1.5,0.25,64,n7
2.5,0.5,52,n17
2.25,0.25,60,n10
2.5,0.25,64,n11
3.0,0.25,55,n18
3.5,0.5,55,n33
3.25,0.25,58,n19
3.75,0.25,58,n21
3.5,0.25,62,n20
4.0,0.5,55,n34
4.5,0.5,55,n35
4.25,0.25,58,n23
4.75,0.25,58,n25
4.5,0.25,62,n24
5.0,0.5,55,n36
5.5,0.5,56,n37
5.25,0.25,58,n27
5.75,0.25,59,n30
5.25,0.25,62,n28
5.75,0.25,63,n31
6.0,0.25,57,n38
6.25,0.25,60,n39
6.75,0.25,60,n41
6.5,0.25,64,n40
7.0,0.5,57,n51
7.5,0.5,57,n52
8.0,0.5,57,n53
7.25,0.25,60,n43
7.75,0.25,60,n45
8.5,0.5,52,n54
8.25,0.25,60,n47
9.0,0.25,55,n55
9.5,0.5,55,n68
9.25,0.25,58,n56
9.75,0.25,58,n58
9.5,0.25,62,n57
10.0,0.25,54,n59
10.5,0.5,54,n70
10.25,0.25,57,n60
10.75,0.25,57,n62
10.5,0.25,61,n61
11.0,0.25,53,n63
11.5,0.5,53,n72
11.25,0.25,57,n64
11.75,0.25,57,n66
12.0,1.0,52,n85
12.25,0.25,56,n74
13.25,0.25,56,n78
13.75,0.25,56,n80
12.75,0.25,56,n76
12.5,0.25,60,n75
13.5,0.25,60,n79
13.0,0.25,52,n77
13.5,0.5,52,n87
14.0,0.5,48,n88
14.5,0.5,48,n89
15.25,0.25,48,n91
15.75,0.25,48,n93
17.0,0.25,48,n98
14.25,0.25,56,n82
14.75,0.25,56,n84
14.5,0.25,60,n83
15.0,6.0,33,n105
15.0,1.0,45,n102
15.5,0.25,57,n92
16.0,0.25,47,n94
16.25,0.25,50,n95
16.75,0.25,50,n97
16.5,0.25,57,n96
17.25,0.25,52,n99
17.75,0.25,52,n101
17.5,0.25,57,n100
18.0,1.0,50,n118
18.25,0.25,53,n107
18.75,0.25,53,n109
18.5,0.25,57,n108
19.0,1.0,47,n119
19.25,0.25,50,n111
19.75,0.25,50,n113
19.5,0.25,57,n112
20.0,0.25,48,n114
20.25,0.25,52,n115
20.75,0.25,52,n117
20.5,0.25,57,n116
21.0,39.0,33,n137
21.0,0.25,45,n122
21.25,0.25,48,n123
21.75,0.25,48,n125
21.5,0.25,57,n124
22.0,1.0,47,n135
22.25,0.25,50,n127
22.75,0.25,50,n129
22.5,0.25,57,n128
23.0,1.0,48,n136
23.25,0.25,52,n131
23.75,0.25,52,n133
23.5,0.25,57,n132
24.0,6.0,45,n150
24.0,0.25,50,n138
24.25,0.25,53,n139
24.75,0.25,53,n141
25.0,0.25,52,n142
25.5,0.25,57,n144
26.0,1.0,53,n153
26.5,0.25,57,n148
27.0,1.0,55,n168
27.0,0.25,55,n155
27.25,0.25,58,n156
27.75,0.25,58,n158
27.5,0.25,64,n157
28.0,1.0,52,n169
28.25,0.25,55,n160
28.75,0.25,55,n162
28.5,0.25,61,n161
29.0,0.25,53,n163
29.25,0.25,57,n164
29.75,0.25,57,n166
29.5,0.25,62,n165
30.0,6.0,45,n184
30.0,1.0,55,n185
30.25,0.25,58,n173
30.75,0.25,58,n175
30.5,0.25,64,n174
31.0,1.0,58,n186
31.25,0.25,62,n177
31.75,0.25,62,n179
31.5,0.25,67,n178
32.0,1.0,57,n187
32.25,0.25,60,n181
32.75,0.25,60,n183
32.5,0.25,65,n182
33.0,0.25,55,n189
33.25,0.25,58,n190
33.75,0.25,58,n192
33.5,0.25,64,n191
34.0,1.0,52,n203
34.25,0.25,55,n194
34.75,0.25,55,n196
34.5,0.25,61,n195
35.0,0.25,53,n197
35.25,0.25,57,n198
35.75,0.25,57,n200
35.5,0.25,62,n199
36.0,3.0,45,n218
36.0,0.25,55,n206
36.25,0.25,58,n207
36.75,0.25,58,n209
36.5,0.25,64,n208
37.0,0.25,58,n210
37.25,0.25,62,n211
37.75,0.25,62,n213
37.5,0.25,67,n212
38.0,1.0,57,n221
38.25,0.25,60,n215
38.75,0.25,60,n217
38.5,0.25,65,n216
39.0,1.0,56,n237
39.0,0.25,62,n223
39.25,0.25,65,n224
39.75,0.25,65,n226
39.5,0.25,71,n225
40.0,0.25,59,n227
40.0,0.25,65,n228
40.25,0.25,68,n229
40.75,0.25,68,n231
40.5,0.25,74,n230
41.0,1.0,60,n239
41.0,0.25,64,n233
41.25,0.25,67,n234
41.75,0.25,67,n236
41.5,0.25,72,n235
42.0,1.0,61,n253
42.0,0.25,67,n241
42.25,0.25,70,n242
42.75,0.25,70,n244
42.5,0.25,76,n243
43.0,1.0,64,n255
43.0,1.0,70,n256
43.25,0.25,73,n246
43.75,0.25,73,n248
43.5,0.25,79,n247
44.0,1.0,65,n257
44.0,1.0,69,n258
44.25,0.25,72,n250
44.75,0.25,72,n252
44.5,0.25,77,n251
45.0,1.0,56,n272
45.0,0.25,62,n260
45.25,0.25,65,n261
45.75,0.25,65,n263
45.5,0.25,71,n262
46.0,1.0,59,n273
46.0,0.25,65,n264
46.25,0.25,68,n265
46.75,0.25,68,n267
46.5,0.25,74,n266
47.0,1.0,60,n274
47.0,0.25,64,n268
47.25,0.25,67,n269
47.75,0.25,67,n271
47.5,0.25,72,n270
48.0,1.0,61,n288
48.0,0.25,67,n276
48.25,0.25,70,n277
48.75,0.25,70,n279
48.5,0.25,76,n278
49.5,0.5,61,n291
49.0,0.5,64,n289
49.5,0.5,67,n292
49.0,0.5,69,n290
50.0,0.25,69,n284
49.25,0.25,73,n281
49.75,0.25,73,n283
49.5,0.25,79,n282
50.0,1.0,64,n293
50.25,0.25,70,n285
50.75,0.25,70,n287
50.5,0.25,76,n286
51.0,1.0,59,n308
51.0,0.25,65,n296
51.25,0.25,68,n297
51.75,0.25,68,n299
51.5,0.25,74,n298
52.0,1.0,62,n309
