onset_beat,duration_beat,pitch,id
0.0,1.0,53,n2
0.0,1.0,60,n3
1.0,1.0,60,n6
3.0,1.0,64,n9
0.0,1.0,65,n4
2.0,1.0,65,n7
3.0,1.0,67,n10
0.0,1.0,69,n5
2.0,1.0,69,n8
5.0,4.0,53,n15
4.0,1.0,62,n11
6.0,1.0,62,n17
4.0,1.0,65,n12
6.0,1.0,65,n18
9.0,1.0,53,n23
8.0,1.0,58,n21
7.0,1.0,60,n19
8.0,1.0,62,n22
7.0,1.0,64,n20
12.0,1.0,56,n31
11.0,1.0,57,n26
10.0,1.0,58,n24
12.0,3.0,59,n41
11.0,1.0,60,n27
10.0,1.0,62,n25
15.0,1.0,49,n35
14.0,1.0,50,n33
14.0,1.0,53,n34
15.0,1.0,53,n36
13.0,1.0,55,n32
15.0,2.0,58,n42
16.0,1.0,48,n37
16.0,1.0,52,n38
17.0,1.0,52,n39
18.0,1.0,53,n48
17.0,1.0,55,n40
18.0,1.0,57,n57
17.0,1.0,60,n43
19.0,1.0,53,n49
21.0,1.0,64,n52
20.0,1.0,65,n50
21.0,1.0,67,n53
20.0,1.0,69,n51
21.0,6.0,69,n46
21.0,6.0,81,n47
23.0,1.0,53,n56
27.0,3.0,53,n78
22.0,1.0,62,n54
24.0,1.0,62,n66
22.0,1.0,65,n55
24.0,1.0,65,n67
26.0,1.0,58,n70
25.0,1.0,60,n68
26.0,1.0,62,n71
25.0,1.0,64,n69
27.0,2.0,70,n62
27.0,2.0,82,n63
30.0,1.0,56,n87
29.0,1.0,57,n75
28.0,1.0,58,n73
30.0,3.0,59,n94
29.0,1.0,60,n76
28.0,1.0,62,n74
29.0,1.0,72,n64
30.0,2.0,74,n79
29.0,1.0,84,n65
30.0,2.0,86,n80
33.0,1.0,49,n91
32.0,1.0,50,n89
32.0,1.0,53,n90
31.0,1.0,55,n88
33.0,2.0,55,n95
33.0,2.0,58,n96
33.0,2.0,76,n83
32.0,1.0,77,n81
33.0,2.0,88,n84
32.0,1.0,89,n82
34.0,1.0,48,n92
35.0,1.0,52,n93
36.0,1.0,53,n102
36.0,1.0,57,n111
35.0,1.0,60,n97
35.0,1.0,79,n85
36.0,3.0,81,n98
35.0,1.0,91,n86
36.0,3.0,93,n99
37.0,1.0,45,n103
39.0,1.0,52,n106
38.0,1.0,53,n104
39.0,1.0,55,n107
38.0,1.0,57,n105
39.0,5.0,81,n100
39.0,5.0,93,n101
41.0,1.0,45,n110
43.0,1.0,45,n125
42.0,1.0,49,n123
40.0,1.0,50,n108
42.0,1.0,52,n124
40.0,1.0,53,n109
45.0,1.0,53,n128
44.0,1.0,55,n126
45.0,1.0,57,n129
44.0,1.0,58,n127
44.0,1.0,81,n116
45.0,2.0,83,n118
44.0,1.0,93,n117
45.0,2.0,95,n119
47.0,1.0,45,n132
48.0,1.0,50,n141
46.0,1.0,52,n130
48.0,1.0,53,n142
46.0,1.0,55,n131
