onset_sec,duration_sec,velocity,pitch,id
0.8255208,2.1979167,22,53,n0
0.98567706,1.0716146,48,60,n1
2.0572917,0.9661458,47,60,n4
3.001302,0.48177084,40,64,n8
1.1601562,1.3763021,39,65,n2
2.5364583,0.48697916,50,65,n6
2.9895833,0.47916666,57,67,n7
1.3958334,1.1276041,57,69,n3
2.5234375,0.5,59,69,n5
3.9804688,1.6054688,30,53,n11
3.4778645,0.9947917,46,62,n9
4.4726562,0.5104167,45,62,n12
3.4778645,1.0,43,65,n10
4.4778647,0.5052083,48,65,n13
5.8216147,0.8828125,50,53,n18
5.4231772,0.82682294,48,58,n17
4.9791665,0.46875,37,60,n15
5.403646,0.8463542,55,62,n16
4.9726562,0.4752604,51,64,n14
7.2747397,0.5494792,54,56,n24
6.6796875,0.6302083,56,57,n22
6.28125,0.4231771,50,58,n20
7.2617188,1.4440104,65,59,n23
6.671875,0.6380208,68,60,n21
6.263021,0.44140625,63,62,n19
8.625,0.625,42,49,n28
8.180989,0.52473956,37,50,n27
8.160156,0.49609375,45,53,n26
8.65625,0.59375,40,53,n29
7.7604165,0.9453125,53,55,n25
8.7630205,0.90234375,57,58,n30
9.2421875,0.4231771,39,48,n32
9.235677,0.4296875,43,52,n31
9.677083,0.61328125,44,52,n35
10.298177,0.14583333,38,53,n36
9.671875,0.6510417,44,55,n33
10.308594,1.6744791,45,57,n37
9.673177,0.6171875,49,60,n34
10.850261,1.1328125,47,53,n38
11.824219,0.66536456,37,64,n41
11.265625,0.71744794,29,65,n40
11.8411455,0.6484375,36,67,n42
11.2473955,0.7239583,48,69,n39
11.9713545,1.7148438,48,69,n44
11.957031,2.703125,66,81,n43
12.8776045,1.3450521,45,53,n47
14.464844,2.001302,40,53,n54
12.489583,0.7994792,37,62,n45
13.2890625,0.3971354,37,62,n49
12.490886,0.79036456,41,65,n46
13.28125,0.4049479,46,65,n48
14.0859375,0.5234375,37,58,n53
13.670573,0.54036456,38,60,n50
14.074219,0.53515625,50,62,n52
13.677083,0.5338542,47,64,n51
14.613281,1.1119791,44,70,n56
14.587239,1.1380209,68,82,n55
15.738281,0.7291667,38,56,n66
15.3515625,0.3736979,46,57,n60
14.988281,0.7369792,44,58,n57
15.735677,0.7317708,48,59,n65
15.354167,0.37109375,55,60,n61
14.9921875,0.73307294,48,62,n58
15.354167,0.37109375,55,72,n62
15.723958,0.74348956,58,74,n64
15.333333,0.44791666,72,84,n59
15.709636,0.7578125,77,86,n63
16.903646,0.22916667,42,49,n73
16.451822,0.53125,40,50,n69
16.466146,0.51692706,42,53,n71
16.089844,0.4140625,44,55,n67
16.897135,0.80859375,33,55,n72
16.91276,0.79296875,37,58,n74
16.967447,0.73828125,57,76,n76
16.459635,0.5234375,60,77,n70
16.942709,0.7630208,78,88,n75
16.436197,0.56119794,81,89,n68
17.330729,0.80078125,44,48,n77
17.701822,0.4296875,45,52,n81
18.035156,0.7890625,50,53,n82
18.053385,0.76953125,49,57,n83
17.696615,0.43489584,49,60,n80
17.688803,0.44270834,65,79,n79
18.179688,1.1901041,59,81,n85
17.665365,0.55338544,84,91,n78
18.152344,1.2148438,87,93,n84
18.473959,1.5013021,47,45,n86
19.244791,0.65755206,47,52,n89
18.824219,0.54557294,45,53,n88
19.259115,0.6432292,42,55,n90
18.822916,0.546875,50,57,n87
19.389322,1.9817709,65,81,n92
19.367188,1.9895834,89,93,n91
20.217447,0.4075521,41,45,n95
20.97526,1.5664062,46,45,n98
20.604166,0.7838542,43,49,n97
19.865885,0.75911456,39,50,n94
20.602865,0.78515625,45,52,n96
19.852865,0.77213544,48,53,n93
21.85026,0.9869792,46,53,n104
21.364584,0.47916666,51,55,n100
21.856771,1.0052084,46,57,n106
21.388021,0.45572916,46,58,n102
21.371094,0.47265625,61,81,n101
21.854166,1.0078125,57,83,n105
21.356771,1.5052084,77,93,n99
21.838541,1.0234375,82,95,n103
22.541666,0.3203125,51,45,n111
22.841146,0.13671875,55,50,n113
22.223959,0.6380208,43,52,n108
22.83724,1.6119791,61,53,n112
22.220053,0.64192706,57,55,n107
22.539062,0.32291666,68,85,n110
22.907553,1.5416666,68,86,n115
22.523438,0.3424479,84,97,n109
22.891928,1.5572916,85,98,n114
23.25651,1.1927084,62,38,n116
23.614584,0.83463544,54,55,n117
24.214844,2.2096355,54,57,n120
23.65625,0.79296875,71,88,n119
24.321615,2.1028645,65,89,n122
23.640625,0.80859375,90,100,n118
24.304688,2.1197917,85,101,n121
25.52474,1.3177084,50,47,n125
25.161459,0.3515625,51,48,n124
24.778646,0.37109375,50,50,n123
26.785156,2.4609375,34,43,n130
26.842447,2.4036458,37,47,n131
26.966146,0.59765625,40,53,n134
26.354166,0.5651042,48,55,n127
25.957031,0.4674479,52,56,n126
26.950521,0.084635414,47,86,n133
26.424479,0.49479166,55,88,n129
26.938803,1.6276041,61,98,n132
26.407553,0.51171875,75,100,n128
28.763021,1.2851562,37,36,n143
29.238281,0.8098958,48,52,n146
28.231771,1.0143229,38,53,n140
27.575521,1.6705729,36,55,n138
29.223959,4.4583335,44,84,n145
28.589844,0.65625,42,86,n142
27.622396,1.6236979,6,88,n139
29.207031,3.4752605,54,96,n144
28.566406,0.6796875,58,98,n141
27.511719,1.734375,62,100,n136
30.470053,0.5286458,48,54,n150
29.963541,0.4609375,59,55,n147
30.436197,0.5625,65,57,n149
29.980469,0.4700521,57,58,n148
30.910156,1.7721354,60,58,n151
30.91276,1.7695312,60,62,n152
32.213543,1.0742188,46,52,n155
31.815104,0.35546875,47,53,n154
31.401041,0.4283854,49,55,n153
33.541668,0.6458333,51,52,n161
33.23828,0.4440104,52,57,n159
32.692707,0.59505206,38,58,n157
33.673176,0.51432294,63,59,n163
33.213543,0.46875,66,60,n158
32.66927,0.61848956,61,61,n156
35.48177,1.4986979,38,53,n173
34.7487,0.7369792,37,55,n167
34.17448,0.5677083,41,57,n164
35.47526,1.3841146,40,57,n171
34.73698,0.74869794,45,58,n166
34.179688,0.5625,54,60,n165
35.014324,0.47135416,36,77,n168
35.127605,0.3580729,45,84,n169
35.273438,0.2669271,48,89,n170
35.47526,0.8854167,59,93,n172
36.8763,2.5260417,50,41,n180
36.859375,2.5429688,63,57,n178
35.983074,0.9973958,54,81,n174
36.864582,0.34765625,47,88,n179
36.40495,0.5755208,34,89,n176
36.85547,0.4934896,64,91,n177
36.360676,0.6197917,57,93,n175
