onset_beat,duration_beat,pitch,id
0.25,0.25,38,n10
0.75,0.25,38,n13
1.25,0.25,38,n16
1.75,0.25,38,n19
0.0,0.25,50,n1
0.25,0.25,50,n11
0.5,0.25,50,n3
0.75,0.25,50,n14
1.0,0.25,50,n5
1.25,0.25,50,n17
1.5,0.25,50,n7
1.75,0.25,50,n20
2.25,0.25,38,n30
2.75,0.25,38,n33
2.0,0.25,50,n21
2.25,0.25,50,n31
2.5,0.25,50,n23
2.75,0.25,50,n34
3.25,0.25,38,n36
3.75,0.25,38,n39
3.0,0.25,50,n25
3.25,0.25,50,n37
3.5,0.25,50,n27
3.75,0.25,50,n40
4.25,0.25,38,n50
4.75,0.25,38,n53
4.0,0.25,50,n41
4.25,0.25,50,n51
4.5,0.25,50,n43
4.75,0.25,50,n54
5.25,0.25,38,n56
5.75,0.25,38,n59
5.0,0.25,50,n45
5.25,0.25,50,n57
5.5,0.25,50,n47
5.75,0.25,50,n60
6.25,0.25,38,n70
6.75,0.25,38,n73
6.0,0.25,50,n61
6.25,0.25,50,n71
6.5,0.25,50,n63
6.75,0.25,50,n74
7.25,0.25,38,n76
7.75,0.25,38,n79
7.0,0.25,50,n65
7.25,0.25,50,n77
7.5,0.25,50,n67
7.75,0.25,50,n80
8.25,0.25,38,n94
8.75,0.25,38,n97
8.0,0.25,48,n81
8.5,0.25,48,n84
8.25,0.25,50,n95
8.75,0.25,50,n98
8.0,0.25,52,n82
8.5,0.25,52,n85
9.25,0.25,38,n100
9.75,0.25,38,n103
9.0,0.25,48,n87
9.5,0.25,48,n90
9.25,0.25,50,n101
9.75,0.25,50,n104
9.0,0.25,52,n88
9.5,0.25,52,n91
10.25,0.25,38,n118
10.75,0.25,38,n121
10.0,0.25,48,n105
10.5,0.25,48,n108
10.25,0.25,50,n119
10.75,0.25,50,n122
10.0,0.25,52,n106
10.5,0.25,52,n109
11.25,0.25,38,n124
11.75,0.25,38,n127
11.0,0.25,48,n111
11.5,0.25,48,n114
11.25,0.25,50,n125
11.75,0.25,50,n128
11.0,0.25,52,n112
11.5,0.25,52,n115
12.25,0.25,38,n138
12.75,0.25,38,n141
12.0,0.25,50,n129
12.25,0.25,50,n139
12.5,0.25,50,n131
12.75,0.25,50,n142
13.25,0.25,38,n144
13.75,0.25,38,n147
13.0,0.25,50,n133
13.25,0.25,50,n145
13.5,0.25,50,n135
13.75,0.25,50,n148
14.25,0.25,38,n158
14.75,0.25,38,n161
14.0,0.25,50,n149
14.25,0.25,50,n159
14.5,0.25,50,n151
14.75,0.25,50,n162
15.25,0.25,38,n164
15.75,0.25,38,n167
15.0,0.25,50,n153
15.25,0.25,50,n165
15.5,0.25,50,n155
15.75,0.25,50,n168
16.25,0.25,38,n182
16.75,0.25,38,n185
16.0,0.25,48,n169
16.5,0.25,48,n172
16.25,0.25,50,n183
16.75,0.25,50,n186
16.0,0.25,52,n170
16.5,0.25,52,n173
17.25,0.25,38,n188
17.75,0.25,38,n191
17.0,0.25,48,n175
17.5,0.25,48,n178
17.25,0.25,50,n189
17.75,0.25,50,n192
17.0,0.25,52,n176
17.5,0.25,52,n179
18.25,0.25,38,n206
18.75,0.25,38,n209
18.0,0.25,48,n193
18.5,0.25,48,n196
18.25,0.25,50,n207
18.75,0.25,50,n210
18.0,0.25,52,n194
18.5,0.25,52,n197
18.0,0.25,55,n195
18.5,0.25,55,n198
19.25,0.25,38,n212
19.75,0.25,38,n215
19.0,0.25,48,n199
19.25,0.25,50,n213
19.5,0.25,50,n202
19.75,0.25,50,n216
19.0,0.25,52,n200
19.75,0.25,52,n204
19.5,0.25,53,n203
19.0,0.25,55,n201
20.25,0.25,38,n226
20.75,0.25,38,n229
20.0,0.25,50,n217
20.25,0.25,50,n227
20.5,0.25,50,n219
20.75,0.25,50,n230
21.25,0.25,38,n232
21.75,0.25,38,n235
21.0,0.25,50,n221
21.25,0.25,50,n233
21.5,0.25,50,n223
21.75,0.25,50,n236
22.25,0.25,38,n246
