onset_sec,duration_sec,velocity,pitch,id
0.6330122,0.05475422,57,38,n1
0.9188025,0.04540594,54,38,n5
1.2059283,0.040064063,45,38,n8
1.4583318,0.046741407,48,38,n11
0.5088136,0.037393127,68,50,n0
0.6370186,0.05074781,65,50,n2
0.76923,0.036057655,73,50,n3
0.897435,0.05208328,65,50,n4
1.051014,0.036057655,67,50,n6
1.1792189,0.048076876,65,50,n7
1.324785,0.036057655,68,50,n9
1.4489836,0.04540594,69,50,n10
1.7401158,0.042735,51,38,n14
2.011216,0.04540594,49,38,n17
1.5785241,0.034722187,80,50,n12
1.7174128,0.05074781,62,50,n13
1.854966,0.036057655,74,50,n15
1.988513,0.05341875,67,50,n16
2.262284,0.05074781,51,38,n20
2.536055,0.048076876,55,38,n23
2.1220598,0.040064063,71,50,n18
2.250265,0.046741407,64,50,n19
2.3811407,0.036057655,77,50,n21
2.5146875,0.05208328,63,50,n22
2.8271873,0.04139953,45,38,n26
3.0835974,0.049412344,48,38,n29
2.6562474,0.038728595,68,50,n24
2.7991426,0.05208328,64,50,n25
2.9179993,0.037393127,66,50,n27
3.0662363,0.05341875,61,50,n28
3.3400073,0.048076876,54,38,n32
3.6030946,0.058760624,53,38,n35
3.187764,0.034722187,76,50,n30
3.315969,0.058760624,64,50,n31
3.4508512,0.038728595,67,50,n33
3.584398,0.05074781,64,50,n34
3.8782012,0.048076876,54,38,n38
4.1493015,0.044070467,52,38,n41
3.7286286,0.034722187,74,50,n36
3.8568337,0.05074781,63,50,n37
3.9903805,0.042735,68,50,n39
4.1252627,0.048076876,67,50,n40
4.393692,0.04540594,53,38,n44
4.660786,0.16159172,54,38,n46
4.248126,0.04139953,70,50,n42
4.381673,0.04139953,70,50,n43
4.492517,0.046741407,81,50,n45
4.660786,0.16159172,57,50,n47
4.92788,0.042735,58,38,n51
5.1882963,0.042735,50,38,n55
4.7729654,0.049412344,83,48,n49
5.0440655,0.036057655,61,48,n52
4.917196,0.04139953,73,50,n50
5.180283,0.038728595,65,50,n54
4.768959,0.05341875,83,52,n48
5.048072,0.029380312,57,52,n53
5.4393644,0.046741407,51,38,n59
5.7131352,0.048076876,58,38,n63
5.3004756,0.04139953,60,48,n57
5.5595565,0.042735,60,48,n61
5.432687,0.04139953,62,50,n58
5.7051225,0.04139953,67,50,n62
5.29914,0.036057655,60,52,n56
5.558221,0.036057655,63,52,n60
5.972216,0.040064063,48,38,n67
6.2126007,0.049412344,51,38,n71
5.8306565,0.04139953,61,48,n65
6.0843954,0.04139953,60,48,n69
5.9561906,0.04139953,66,50,n66
6.2099295,0.044070467,65,50,n70
5.829321,0.038728595,63,52,n64
6.079054,0.04139953,64,52,n68
6.470346,0.046741407,56,38,n75
6.7361045,0.1068375,52,38,n79
6.336799,0.04139953,62,48,n73
6.59588,0.037393127,59,48,n77
6.467675,0.040064063,65,50,n74
6.721414,0.12152766,67,50,n78
6.3341284,0.040064063,60,52,n72
6.5878673,0.036057655,65,52,n76
7.0018625,0.048076876,54,38,n82
7.262279,0.048076876,55,38,n85
6.854961,0.037393127,79,50,n80
6.9991918,0.040064063,62,50,n81
7.116713,0.036057655,77,50,n83
