onset_beat,duration_beat,pitch,id
1.0,0.5,43,n15
0.0,0.5,59,n6
1.0,0.5,59,n8
0.5,0.5,62,n7
1.5,0.5,62,n9
0.0,2.5,67,n1
2.0,0.5,36,n17
2.0,0.5,59,n10
2.5,0.5,64,n11
2.5,0.5,69,n3
3.0,0.5,52,n19
3.0,0.5,59,n12
3.5,0.5,64,n5
5.0,0.5,64,n22
3.0,0.5,66,n4
4.0,0.5,38,n35
4.0,0.5,54,n27
4.5,0.5,59,n28
4.0,1.0,62,n21
5.0,0.5,47,n37
5.0,0.5,54,n29
5.5,0.5,59,n30
5.5,0.5,66,n23
6.0,0.5,40,n39
6.0,0.5,55,n31
6.5,0.5,59,n32
6.5,0.5,64,n25
6.0,0.5,66,n24
7.0,0.5,50,n41
7.0,0.5,55,n33
7.5,0.5,59,n34
7.0,1.0,64,n26
8.0,0.5,60,n48
8.5,0.5,64,n49
8.0,2.5,71,n43
9.0,0.5,55,n57
9.0,0.5,60,n50
9.5,0.5,64,n51
10.0,0.5,45,n59
10.0,0.5,60,n52
10.5,0.5,64,n53
10.5,0.5,72,n45
11.0,0.5,55,n61
11.0,0.5,60,n54
11.5,0.5,64,n55
11.5,0.5,67,n47
11.0,0.5,69,n46
12.0,0.5,50,n78
12.0,0.5,60,n70
12.5,0.5,62,n71
12.0,1.0,66,n63
13.0,0.5,60,n80
13.5,0.5,62,n73
13.0,0.5,67,n64
13.5,1.0,69,n65
14.0,0.5,43,n82
14.0,0.5,59,n74
14.5,0.5,62,n75
14.5,0.5,71,n67
15.0,0.5,54,n84
15.0,0.5,59,n76
15.5,0.5,62,n77
15.5,0.5,66,n69
15.0,0.5,67,n68
16.0,0.5,48,n101
16.0,0.5,59,n93
16.5,0.5,60,n94
16.0,1.0,64,n86
17.0,0.5,59,n95
17.5,0.5,60,n96
17.0,0.5,66,n87
17.5,1.0,67,n88
18.0,0.5,42,n105
18.0,0.5,57,n97
18.5,0.5,60,n98
18.5,0.5,69,n90
19.0,0.5,52,n107
19.0,0.5,57,n99
19.5,0.5,60,n100
19.5,0.5,64,n92
19.0,0.5,66,n91
20.0,0.5,47,n125
20.0,0.5,54,n120
20.5,0.5,59,n121
20.0,2.0,66,n109
21.5,0.5,59,n123
21.0,0.5,62,n122
22.0,1.0,42,n128
22.5,0.5,60,n111
22.5,0.5,64,n112
22.5,0.5,69,n113
23.0,0.5,43,n129
23.5,0.5,45,n130
23.5,0.5,54,n117
23.0,0.5,59,n114
23.5,0.5,60,n118
23.0,0.5,62,n115
23.5,0.5,64,n119
23.0,0.5,66,n116
24.0,4.0,50,n143
24.0,0.5,59,n135
24.5,0.5,62,n136
24.0,0.5,66,n131
25.0,2.0,71,n133
26.0,2.0,35,n144
27.5,0.1,59,n137
27.5,0.1,60,n138
27.6,0.1,64,n139
27.7,0.1,67,n140
27.0,1.0,71,n134
27.8,2.6,71,n141
27.9,0.1,76,n142
28.0,4.0,33,n158
28.5,0.5,64,n151
29.0,1.5,59,n159
29.5,0.5,64,n153
29.0,0.5,67,n152
30.5,0.5,57,n161
30.0,0.5,60,n154
30.5,0.5,64,n155
30.5,0.5,69,n148
31.5,0.5,59,n163
31.0,0.5,62,n162
31.5,0.5,64,n157
31.0,0.5,67,n156
31.5,0.5,71,n150
31.0,0.5,74,n149
32.5,3.5,38,n177
32.5,3.5,45,n178
32.5,0.5,54,n169
32.0,1.0,59,n183
32.0,0.5,60,n168
32.5,0.5,64,n170
32.0,1.0,71,n164
33.0,1.0,54,n184
33.5,0.5,64,n172
33.0,0.5,69,n171
35.0,0.5,69,n175
34.0,1.0,59,n185
34.0,0.5,60,n173
34.5,0.5,64,n174
34.0,1.0,67,n166
35.0,1.0,57,n186
35.5,0.5,64,n176
36.0,1.0,55,n201
36.5,0.5,59,n194
36.0,2.0,64,n187
37.0,0.5,64,n195
37.5,0.5,71,n196
38.5,0.5,38,n205
38.0,0.5,40,n203
38.5,0.5,50,n206
38.0,0.5,52,n204
38.5,0.5,62,n198
38.5,0.5,72,n189
38.5,0.5,74,n190
39.5,0.5,42,n209
39.0,0.5,43,n207
39.5,0.5,54,n210
39.0,0.5,55,n208
39.5,0.5,66,n200
39.0,0.5,67,n199
39.5,0.5,72,n192
39.5,0.5,74,n193
40.0,1.0,40,n225
40.0,1.0,52,n226
40.5,0.5,59,n219
40.0,0.5,64,n218
40.0,0.5,71,n211
40.0,0.5,76,n212
41.0,0.5,62,n220
41.5,0.5,64,n221
41.0,1.0,71,n214
42.0,1.0,40,n230
42.0,1.0,47,n231
42.0,1.0,56,n228
42.0,1.0,62,n215
42.0,1.0,66,n216
43.0,1.0,38,n232
43.0,1.0,45,n233
43.0,1.0,54,n229
43.666668,0.33333334,57,n224
43.333332,0.33333334,59,n223
43.0,0.33333334,60,n222
43.0,1.0,64,n217
44.0,2.0,35,n245
44.0,2.0,42,n246
44.0,2.0,50,n247
44.0,2.0,54,n244
44.0,2.0,59,n234
44.0,2.0,66,n235
46.0,0.5,54,n236
46.0,0.5,59,n237
46.5,0.5,59,n238
46.5,0.5,62,n239
47.0,0.5,62,n240
47.0,0.5,66,n241
47.5,0.5,66,n242
47.5,0.5,71,n243
48.0,2.0,35,n279
48.0,2.0,47,n280
48.0,0.5,69,n261
48.5,0.5,69,n264
48.0,0.5,71,n262
49.0,0.5,71,n268
48.0,0.5,74,n263
48.5,0.5,74,n266
48.0,1.0,78,n249
49.0,0.5,67,n267
49.5,0.5,67,n270
49.5,0.5,71,n271
49.0,0.5,74,n269
49.5,0.5,74,n272
49.0,1.5,79,n250
50.0,2.0,35,n281
50.0,2.0,47,n282
50.5,0.5,69,n276
50.0,0.5,71,n274
50.5,0.5,71,n252
50.0,0.5,74,n275
50.5,0.5,74,n253
50.5,0.5,78,n254
51.5,0.5,66,n278
51.0,0.5,67,n277
51.0,0.5,71,n255
51.5,0.5,71,n258
51.0,0.5,74,n256
51.5,0.5,74,n259
51.0,0.5,79,n257
51.5,0.5,81,n260
52.0,4.0,35,n310
52.0,4.0,47,n311
52.0,0.5,64,n286
52.5,0.5,64,n289
52.0,0.5,67,n287
52.5,0.5,67,n290
52.0,0.5,71,n288
52.5,0.5,71,n291
52.0,1.0,74,n283
53.0,0.5,64,n292
53.5,0.5,64,n295
53.0,0.5,67,n293
53.5,0.5,67,n296
53.0,0.5,71,n294
53.5,0.5,71,n297
53.0,3.0,73,n284
54.0,0.5,64,n298
54.5,0.5,64,n307
54.0,0.5,67,n299
54.5,0.5,67,n301
54.0,0.5,71,n300
54.5,0.5,71,n302
55.0,0.5,59,n308
55.5,0.5,64,n309
55.0,0.5,67,n303
55.5,0.5,67,n305
55.0,0.5,71,n304
55.5,0.5,71,n306
56.0,2.0,35,n342
56.0,2.0,47,n343
56.0,0.5,66,n324
56.5,0.5,66,n327
56.0,0.5,67,n325
56.5,0.5,67,n328
56.0,0.5,71,n326
56.5,0.5,71,n329
56.0,1.0,74,n312
57.0,0.5,64,n330
57.5,0.5,64,n333
57.0,0.5,67,n331
57.5,0.5,67,n334
