onset_sec,duration_sec,velocity,pitch,id
2.6442282,1.1364839,27,43,n3
1.5424664,1.1271356,37,59,n1
2.669602,1.0096143,14,59,n4
2.1247308,1.0363238,31,62,n2
3.1610546,0.6196575,35,62,n5
1.5130861,2.3611088,50,67,n0
3.700584,2.2769742,33,36,n7
3.6792164,1.0723814,33,59,n6
4.2134037,0.99893063,38,64,n9
4.178682,1.7988764,57,69,n8
4.7342367,1.2433214,31,52,n11
4.751598,1.2259603,29,59,n12
5.2123346,0.7652236,60,64,n13
6.746788,1.2686954,60,64,n18
4.682153,1.2954047,62,66,n10
5.7932634,2.22222,36,38,n16
5.7812443,0.99358875,35,54,n15
6.255336,1.0189626,46,59,n17
5.746522,2.2689614,56,62,n14
6.8015423,1.2139411,24,47,n20
6.774833,1.2406504,30,54,n19
7.274298,0.7411851,40,59,n22
7.2275567,0.5582259,62,66,n21
7.8245115,1.3501589,35,40,n24
7.8258467,1.1084391,38,55,n25
8.421466,0.75320435,32,59,n27
8.372053,0.5341875,51,64,n26
7.785783,1.3888875,54,66,n23
8.962331,1.410255,33,50,n30
8.934286,1.4382999,34,55,n29
9.453783,0.9188025,41,59,n31
8.906241,1.4663447,41,64,n28
10.137544,1.02564,42,60,n33
10.677073,1.0002661,43,64,n34
10.094809,4.2775064,69,71,n32
11.189893,1.1231292,41,55,n36
11.163183,0.9922533,40,60,n35
11.677339,0.6356831,46,64,n37
12.194165,2.1781495,35,45,n39
12.1554365,1.0296464,40,60,n38
12.717669,0.93349266,33,64,n41
12.6549015,1.7174128,66,72,n40
13.186419,1.1858963,31,55,n44
13.185083,1.0176272,30,60,n43
13.651161,0.72115314,49,64,n46
13.636472,0.7358433,63,67,n45
13.138342,1.2339731,69,69,n42
14.194697,2.1380854,37,50,n48
14.20271,1.0496784,23,60,n49
14.71553,1.0563558,32,62,n50
14.165317,2.1674657,52,66,n47
15.252389,1.0803943,33,60,n52
15.771886,0.5608969,38,62,n54
15.204311,1.1284711,59,67,n51
15.734493,2.8058197,60,69,n53
16.31008,2.2302327,31,43,n56
16.247313,1.0363238,48,59,n55
16.79352,1.0296464,34,62,n58
16.749449,1.7908636,64,71,n57
17.272953,1.2673599,37,54,n60
17.283636,1.045672,34,59,n61
17.823166,0.7171467,29,62,n63
17.765741,0.7745719,64,66,n62
17.244907,1.2954047,62,67,n59
18.357353,2.0846667,26,48,n66
18.32931,1.0897425,39,59,n65
18.870173,1.11111,39,60,n67
18.303934,2.1380854,53,64,n64
19.41905,1.022969,38,59,n69
19.981283,0.46073672,36,60,n71
19.368303,1.0737169,56,66,n68
19.946562,2.99145,58,67,n70
20.482084,2.4559271,34,42,n72
20.48609,1.0817297,38,57,n73
21.044317,1.0162917,10,60,n75
20.977543,1.9604682,59,69,n74
21.530428,1.4075841,36,52,n77
21.56782,1.370191,4,57,n78
22.060608,0.87740296,43,60,n80
22.027222,0.91078967,55,64,n79
21.490364,1.11111,56,66,n76
22.650885,2.8699224,37,47,n83
22.62017,2.900638,35,54,n82
23.107616,1.0697105,42,59,n84
22.601473,2.9193347,45,66,n81
24.177326,1.3434815,45,59,n86
23.669847,1.8509597,42,62,n85
24.803661,1.8349341,58,42,n87
25.454035,1.0817297,48,60,n89
25.454035,1.0590267,54,64,n90
25.434002,1.2045928,65,69,n88
25.974867,0.7398497,58,43,n92
26.541105,0.897435,58,45,n98
26.530422,0.86137736,51,54,n96
26.002913,0.6356831,49,59,n94
26.535765,0.8560355,51,60,n97
25.989557,0.64903784,55,62,n93
26.513062,0.87873846,70,64,n95
25.966854,0.6717408,70,66,n91
27.159428,8.65918,43,50,n99
27.160763,2.7964716,55,59,n100
27.736351,2.2208846,57,62,n102
27.163435,2.7938006,62,66,n101
28.494896,2.3370702,71,71,n103
29.634052,6.184556,32,35,n104
31.884315,1.8469533,40,59,n107
31.881645,2.8298583,43,60,n106
32.03389,1.1605223,50,64,n108
32.13672,1.6159172,62,67,n109
30.831966,1.3915584,39,71,n105
32.223526,3.5950818,69,71,n110
32.556057,3.26255,57,76,n111
32.69094,3.127668,33,33,n112
33.194412,1.0349883,41,64,n113
33.73127,2.0873377,68,59,n114
34.2294,0.9869114,43,64,n116
33.752636,1.9738228,36,67,n115
35.202957,1.6546458,71,57,n118
34.711502,1.1071036,57,60,n117
35.216312,0.6022964,50,64,n120
35.204292,0.6143156,57,69,n119
36.17251,0.62099296,80,59,n124
35.713104,1.1444967,76,62,n122
36.19521,0.6623925,53,64,n126
35.72646,1.131142,55,67,n123
36.179184,0.6156511,66,71,n125
35.705093,1.1525096,66,74,n121
37.45589,2.8178391,33,38,n132
37.45055,2.823181,39,45,n131
37.47325,0.49812984,18,54,n133
